method_name,build_id,test_scenario,count_tc,count_commits,apfd,time
experiment_industry_optimized_v3,QCO30.95-Q3-10-14,v8_full_test,3,27,0.75,0.0
experiment_industry_optimized_v3,QMD30.27,v8_full_test,56,71,0.9910714285714286,0.0
experiment_industry_optimized_v3,QPG30.82-37,v8_full_test,12,12,0.875,0.0
experiment_industry_optimized_v3,QPG30.82-57,v8_full_test,20,2,0.6499999999999999,0.0
experiment_industry_optimized_v3,QPI30.34,v8_full_test,25,106,0.78,0.0
experiment_industry_optimized_v3,QPI30.73-3,v8_full_test,55,61,0.9363636363636364,0.0
experiment_industry_optimized_v3,QPI30.73-8,v8_full_test,7,15,0.6875,0.0
experiment_industry_optimized_v3,QPJ30.131-15,v8_full_test,8,4,0.8125,0.0
experiment_industry_optimized_v3,QPJ30.14,v8_full_test,3,5,0.49999999999999994,0.0
experiment_industry_optimized_v3,QPJ30.32,v8_full_test,62,2,0.782258064516129,0.0
experiment_industry_optimized_v3,QPO30.15,v8_full_test,24,196,0.9791666666666666,0.0
experiment_industry_optimized_v3,QPR30.80-129,v8_full_test,10,2,0.5750000000000001,0.0
experiment_industry_optimized_v3,QPS30.205-Q3-43-3,v8_full_test,14,67,0.7000000000000001,0.0
experiment_industry_optimized_v3,QPZ30.15,v8_full_test,29,48,0.6293103448275862,0.0
experiment_industry_optimized_v3,QPZ30.30-Q3-1,v8_full_test,10,664,0.8250000000000001,0.0
experiment_industry_optimized_v3,QZA30.Q4-19,v8_full_test,4,136,0.25,0.0
experiment_industry_optimized_v3,QZK30.Q4-25,v8_full_test,1,73,1.0,0.0
experiment_industry_optimized_v3,QZK30.Q4-38,v8_full_test,58,99,0.8833333333333333,0.0
experiment_industry_optimized_v3,QZK30.Q4-40-21,v8_full_test,15,58,0.7333333333333334,0.0
experiment_industry_optimized_v3,RPE31.Q4U-47-10,v8_full_test,3,79,0.8333333333333334,0.0
experiment_industry_optimized_v3,RPE31.Q4U-47-8,v8_full_test,35,49,0.8999999999999999,0.0
experiment_industry_optimized_v3,RPI31.Q2-20,v8_full_test,9,63,0.6111111111111112,0.0
experiment_industry_optimized_v3,RPJ31.Q4U-47-35,v8_full_test,31,14,0.8916666666666666,0.0
experiment_industry_optimized_v3,RPL31.Q2-15,v8_full_test,12,67,0.12500000000000003,0.0
experiment_industry_optimized_v3,RPL31.Q2-40,v8_full_test,24,120,0.5416666666666666,0.0
experiment_industry_optimized_v3,RPM31.36,v8_full_test,2,126,0.75,0.0
experiment_industry_optimized_v3,RPR31.37,v8_full_test,46,110,0.75,0.0
experiment_industry_optimized_v3,RRE31.Q3-19,v8_full_test,6,138,0.7500000000000001,0.0
experiment_industry_optimized_v3,RRK31.Q3-19-5,v8_full_test,5,115,0.9,0.0
experiment_industry_optimized_v3,RRN31.Q1-20-44,v8_full_test,8,95,0.6875,0.0
experiment_industry_optimized_v3,RRW31.Q3-41-6,v8_full_test,9,87,0.65,0.0
experiment_industry_optimized_v3,RRXC31.Q3-18,v8_full_test,7,126,0.6428571428571428,0.0
experiment_industry_optimized_v3,RRXC31.Q3-45-20,v8_full_test,16,39,0.71875,0.0
experiment_industry_optimized_v3,S0RE32.1,v8_full_test,1,934,1.0,0.0
experiment_industry_optimized_v3,S1PB32.28,v8_full_test,4,26,0.875,0.0
experiment_industry_optimized_v3,S1RD32.55,v8_full_test,20,85,0.425,0.0
experiment_industry_optimized_v3,S1RG32.53-9,v8_full_test,19,8,0.8947368421052632,0.0
experiment_industry_optimized_v3,S1RM32.2,v8_full_test,8,53,0.65625,0.0
